blogs_count,brief_intro,comment_count,concern_count,content,label,followers_count,forward,like,mid,name,time,url
,comment,4.20238E+15,, 好,3,,,,4.19641E+15,清淡酒 ,2018/1/31 22:40,https://weibo.com/u/1809158173?refer_flag=1001030106_
,comment,4.20002E+15,,你好，你的微博已被收录到新鲜事【你可能错过的体育视频】里啦，将会获得更多推荐。快来发现更多同主题兴趣内容吧！戳→→O你可能错过的体育视频,2,,,,4.19948E+15,微博热点,2018/1/25 10:20,https://weibo.com/2431328567
18257,天津市体育局官方微博,,286,【张培萌转战钢架雪车“百米飞人”要上北京冬奥】退役后的张培萌并没有放弃重回赛场的梦想。1月29日，有媒体报道，张培萌将要跨界转战钢架雪车。如果能顺利转型，参加2022冬奥会，张培萌将成为首个既参加了北京夏奥会，又能参加北京冬奥会的中国体育名将。O百米飞人变雪上飞人？张培萌这个跨界有点厉害啊_观察者网,3,83208,,1,4.20225E+15,天津体育,2018/1/31 13:50,
,comment,4.19752E+15,,韩国奥运会关中国什么事？更多的是应该关注萨德吧？美国 日本和俄罗斯什么态度？中国去背锅吗？,1,,,,4.19728E+15,陈长靖,2018/1/18 12:53,https://weibo.com/1787269793
13229,贵州娱乐黔线官方微博,,704,【央视专访张艺谋：平昌“北京8分钟”表演主题基本确定为“2022，相约北京”】2018韩国平昌冬奥会开幕在即，负责执导闭幕式交接仪式“北京8分钟”的张艺谋，正带领主创团队进行赴平昌前的最后彩排。平昌 “北京8分钟”定位是什么？将为观众呈现怎样的表演？来听听张艺谋怎么说~ L央视新闻的秒拍视频 收起全文d,2,121081,,,4.19723E+15,娱乐黔线,2018/1/17 17:40,
,comment,4.19707E+15,,喜欢张导的作品,3,,,,4.19697E+15,炒白菜19950919,2018/1/17 6:32,https://weibo.com/5892653925
,comment,4.19407E+15,,那我一定要去囤一点货了,3,,,,4.19404E+15,我就是很无聊的那立琅,2018/1/9 0:06,https://weibo.com/6215081410
,comment,4.2019E+15,,期待老谋子再创佳作，为北京冬奥会打响第一枪！,3,,,,4.20037E+15,洞宾背剑青风客,2018/1/30 14:59,https://weibo.com/qazwsx3
,comment,4.21534E+15,,表示2022就要重新的看中国了,2,,,,4.21277E+15,用户6311739064,2018/3/8 16:44,https://weibo.com/6311739064
,comment,4.22396E+15,,羽生君要死去参加北京奥运，那就一定去给你加油！,3,,,,4.22392E+15,自然就是卷,2018/4/1 11:47,https://weibo.com/2217693280
,comment,4.25376E+15,,全世界都就行东北话，咋整？,2,,,,4.25369E+15,里海的里海,2018/6/22 17:07,https://weibo.com/3484290792
1397,凯哥有约，相约健康、时尚品质生活13573739673,,1196,#平昌冬奥会#1月23日，2018平昌奥运会中国奥运代表团出征仪式在国家体育总局北京训练馆大厅圆满举行！中国奥委会市场开发部副主任王明宴、安利大中华首席市场营运官余放出席本次活动。还有申冬奥大使@李妮娜 和花滑奥运奖牌获得者@陈露 在现场与粉丝大聊训练受伤、备战奥运的事，与纽崔莱的故事。 #威海# 收起全文d,2,918,,,4.19965E+15,Amway凯哥,2018/1/24 9:40,
,comment,4.19907E+15,,现在咱的新文化可不少了,2,,,,4.19907E+15,呼和浩特足球队冲超,2018/1/22 22:03,
64,他还没有填写个人简介,,49,#世界看我新长征#新长征打卡第18天，跑步4.48公里，继续加油@皇族电子竞技俱乐部 @北京2022年冬奥会,2,22,,,4.24984E+15,Zhoujiaxin少爷,2018/6/11 21:23,
,comment,4.20224E+15,,张培萌内心os:跑了这么多年，终于坐上车了虽然得趴着，但好歹不用腿儿着,2,,,,4.20224E+15,I_K_E_R,2018/1/31 13:08,https://weibo.com/2433770093
,comment,4.22145E+15,,叫姐，怎么的呢？ 叫姐多不亲切啊…… 那叫什么亲切？ 叫队长亲切啊 ，懂得都懂！,3,,,,4.22084E+15,渺渺洒空草,2018/3/25 13:30,https://weibo.com/5894134454
,comment,4.1972E+15,,@蠢猫去哪了  我还以为是我的串串平昌,2,,,,4.19719E+15,0113Carol0312,2018/1/17 15:35,https://weibo.com/5724136300
,comment,4.19975E+15,,恰好明年考大学,3,,,,4.19975E+15,我守护的蓝色,2018/1/24 16:05,https://weibo.com/5674738312
,comment,4.25342E+15,,钢架雪车！因为strong????,2,,,,4.25338E+15,曲奇多多儿,2018/6/21 18:51,https://weibo.com/1968073663
